user,text,place,created_at
Brenda Lee,"@KarsinXXX @MSNBC @CNNPolitics @cnnbrk I have turned off the TV for my 3rd day, thanks I am strong and I am ready t? https://t.co/Cnr77yQ9C8","New York, USA",Wed Mar 27 11:11:52 +0000 2019
Mark H,@QueenBbecT @HappyDevil6 Sorry me guys are just pigs,"New York, USA",Wed Mar 27 11:11:54 +0000 2019
Chef Spidey,"I leave this here, because I get asked a lot what #Namaste means. https://t.co/4cXyDYjLhs","Ottawa, Ontario",Wed Mar 27 11:11:58 +0000 2019
Scott Lomoglio,@joehaden23 Concentrate on football,"New York, USA",Wed Mar 27 11:12:06 +0000 2019
Jane McKerroll,@StevieVanZandt @PegGall,"Ottawa, Ontario",Wed Mar 27 11:12:17 +0000 2019
Kiley Duff,The mom whose text game was way better than her daughter's. https://t.co/T6rftmMIeT,Canada,Wed Mar 27 11:12:32 +0000 2019
Kathleen E. Smith,Despicable,"New York, USA",Wed Mar 27 11:12:42 +0000 2019
Melanie Haskins,"@stephden1976 @JohnStantonRR @TrudyLPrice @marg_obrien @S_Brancatelli Well yeah, sometimes like that to ??","Ottawa, Ontario",Wed Mar 27 11:12:42 +0000 2019
WX Ottawa,Wed 07:00: Partly Cloudy; Temp -9.2 C; Windchill -13; Humidity 84%; Press 103.2 kPa / rising. https://t.co/aPUvZO4tjQ,"Ottawa, Ontario",Wed Mar 27 11:12:43 +0000 2019
?? Noah Ratcliff ??,Good morning! Halfway through the week already! ??,"New York, USA",Wed Mar 27 11:12:44 +0000 2019
Mike Anthony,#Fact #TheMoreYouKnow #FYI #Science #Physics #LifeHack #StaticIsLikeAnExOverlyClingyAndIrritating? https://t.co/7NaK1nHKco,"New York, USA",Wed Mar 27 11:12:53 +0000 2019
Luke Rakoske,"#WednesdayWisdom 
#WednesdayMotivation 
#wednesdaythoughts https://t.co/1adQhrdLgb","New York, USA",Wed Mar 27 11:13:13 +0000 2019
Didactic Puma??,@Nate_McMurray you gunna be in Albany today?,"New York, USA",Wed Mar 27 11:13:17 +0000 2019
Prophet Jeybro,Mhen.,"Ottawa, Ontario",Wed Mar 27 11:13:26 +0000 2019
Susan Evans ??,"Happy Hump Day #itsGwensday (@ Fineview Bus Stop in Deerfield, NY) https://t.co/gObi4UikXM https://t.co/Z6tHTe168T","New York, USA",Wed Mar 27 11:13:43 +0000 2019
Susan J. Ragusa,We?re on! @AndreaKihlstedt,"New York, USA",Wed Mar 27 11:13:52 +0000 2019
Ty ML Albee,@JJohnson13WHAM @13WHAM @1AlexisArnold - obviously the Red Cross will be helping these folks who lost everything in? https://t.co/0ZSLVLMJng,"New York, USA",Wed Mar 27 11:14:18 +0000 2019
Oswego STOP-DWI,Oswego County CiTi BOCES hosts RAP this evening. Doors open at 6:30. A unique opportunity for parents to attend a s? https://t.co/b8OADtyOp1,"New York, USA",Wed Mar 27 11:14:28 +0000 2019
SICKMADE ????,Mdr tout le monde met Le maillot de C?te d?Ivoire aujourd?hui tu peux m?me ps savoir si celui qui porte est ivoirie? https://t.co/hyXCT614eF,"Gatineau, Qu?bec",Wed Mar 27 11:14:36 +0000 2019
KathLat,@nytimes Perfect....now this ban needs to be nationwide!,"New York, USA",Wed Mar 27 11:14:39 +0000 2019
.,any female putting her selfies on that naked nigga picture getting reported.,"New York, USA",Wed Mar 27 11:14:43 +0000 2019
Ariane Renaud,Can anyone recommend a yummy place to pick up fresh Samosas within the downtown Ottawa core?!,"Ottawa, Ontario",Wed Mar 27 11:14:48 +0000 2019
Ottawa Rockstar/Pornstar,"Hey im just horny
#misterdiversity #6andahalfinchcock #pornstar #rockstar #ottawaporn #cum #6andahalfinches? https://t.co/hpTUl4TmXM","Ottawa, Ontario",Wed Mar 27 11:14:56 +0000 2019
